model,activation,optimizer,seq_len,grad_clip,accuracy,f1,epoch_time_s
lstm,relu,adam,25,0.0,0.7198,0.7196,5.78
lstm,relu,sgd,25,0.0,0.5000,0.4998,4.90
lstm,relu,rmsprop,25,0.0,0.7153,0.7151,5.33
lstm,relu,adam,50,0.0,0.7653,0.7653,10.31
lstm,relu,sgd,50,0.0,0.5080,0.4742,9.93
lstm,relu,rmsprop,50,0.0,0.7604,0.7599,10.42
lstm,relu,adam,100,0.0,0.7956,0.7956,19.12
lstm,relu,sgd,100,0.0,0.4990,0.3329,18.29
lstm,relu,rmsprop,100,0.0,0.7717,0.7702,19.24
rnn,tanh,adam,25,0.0,0.6464,0.6444,3.12
lstm,tanh,adam,25,0.0,0.7212,0.7212,5.71
bilstm,tanh,adam,25,0.0,0.7131,0.7125,10.53
rnn,tanh,adam,50,0.0,0.5337,0.5311,4.56
lstm,tanh,adam,50,0.0,0.7686,0.7685,10.42
bilstm,tanh,adam,50,0.0,0.7620,0.7615,19.87
rnn,tanh,adam,100,0.0,0.5472,0.5472,7.71
lstm,tanh,adam,100,0.0,0.5583,0.5571,19.05
bilstm,tanh,adam,100,0.0,0.8192,0.8189,38.69
bilstm,sigmoid,adam,25,0.0,0.7189,0.7183,11.40
bilstm,relu,adam,25,0.0,0.7205,0.7200,11.17
bilstm,tanh,adam,25,0.0,0.7051,0.7043,11.13
bilstm,sigmoid,adam,50,0.0,0.7276,0.7275,21.11
bilstm,relu,adam,50,0.0,0.7622,0.7617,21.68
bilstm,tanh,adam,50,0.0,0.7541,0.7541,21.88
bilstm,sigmoid,adam,100,0.0,0.7834,0.7803,42.39
bilstm,relu,adam,100,0.0,0.8046,0.8045,41.04
bilstm,tanh,adam,100,0.0,0.8058,0.8057,41.35
lstm,relu,adam,25,0.0,0.7198,0.7196,6.55
lstm,relu,adam,25,1.0,0.7214,0.7209,6.89
lstm,relu,adam,50,0.0,0.7653,0.7653,11.11
lstm,relu,adam,50,1.0,0.7588,0.7584,11.39
lstm,relu,adam,100,0.0,0.7956,0.7956,20.53
lstm,relu,adam,100,1.0,0.8102,0.8095,20.45
rnn,relu,rmsprop,25,0.0,0.6252,0.6213,2.95
rnn,relu,rmsprop,50,0.0,0.5742,0.5719,4.69
rnn,relu,rmsprop,100,0.0,0.6714,0.6685,7.79
